Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-SP1_Full64; Runtime version X-2025.06-SP1_Full64;  May  4 14:17 2026

 VCS Coverage Metrics Release X-2025.06-SP1_Full64 Copyright (c) 1991-2025 by Synopsys Inc.
[Cycle 1205000] PC=0x18c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1215000] PC=0x190 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1225000] PC=0x194 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1235000] PC=0x198 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1245000] PC=0x19c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1255000] PC=0x1a0 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1265000] PC=0x1a4 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1275000] PC=0x1a8 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1285000] PC=0x1ac | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1295000] PC=0x1b0 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1305000] PC=0x1b4 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1315000] PC=0x1b8 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1325000] PC=0x1bc | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1335000] PC=0x1c0 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1345000] PC=0x1c4 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1355000] PC=0x1c8 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1365000] PC=0x1cc | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1375000] PC=0x1d0 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1385000] PC=0x1d4 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1395000] PC=0x1d8 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1405000] PC=0x1dc | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1415000] PC=0x1e0 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1425000] PC=0x1e4 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1435000] PC=0x1e8 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1445000] PC=0x1ec | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1455000] PC=0x1f0 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1465000] PC=0x1f4 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1475000] PC=0x1f8 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1485000] PC=0x1fc | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1495000] PC=0x200 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1505000] PC=0x204 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1515000] PC=0x208 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1525000] PC=0x20c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1535000] PC=0x210 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1545000] PC=0x214 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1555000] PC=0x218 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1565000] PC=0x21c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1575000] PC=0x220 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1585000] PC=0x224 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1595000] PC=0x228 | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
[Cycle 1605000] PC=0x22c | instr=xxxxxxxx | stall=0 | mac_busy=0 | tcm_wea=0 tcm_addra=x
